feature,importance
india_vix_vs_60d,0.11532641193936297
sp500_vs_200d,0.08568059528258481
nifty50_vs_200d,0.08453684092130492
vix_vs_60d,0.06106562963216873
adv_decline_ratio,0.05372653060305883
vix_vs_20d,0.05169394718004587
nifty50_return_1d,0.0506353163390694
sector_return_5d,0.04836993205816429
dxy_vs_60d,0.04368079196096009
us10y_vs_60d,0.04152633608613571
nifty50_return_5d,0.03382868761713538
sector_rsi_avg,0.03272961840079641
india_vix_change_pct,0.0300900749196917
dxy_return_1d,0.024922310470399833
sector_return_1d,0.02316224003397888
vix_change_pct,0.022877972354864315
sp500_return_1d,0.021910197747888695
sector_breadth_score,0.015747563196485098
sector_volume_ratio,0.014349537078228303
stochastic_d,0.011446831844403467
bb_position,0.010031747457603346
price_to_high_20d,0.00975767006881603
defensive_risk_score,0.009126590541603417
stochastic_k,0.009012455592411841
return_5d,0.008142578404684582
price_to_sma20,0.008137473305154196
volume_ratio,0.007170348625137586
price_to_low_20d,0.0067654735451126505
return_10d,0.005301462530426467
bb_width_pct,0.004539856633447021
price_to_sma200,0.004491571567130825
atr_pct,0.004457651004691309
stock_return_vs_nifty_5d,0.004088314083772236
macd_hist_normalized,0.0031347757749579336
risk_adjusted_momentum,0.002965931811940555
sr_pivot_position,0.0025343806304000483
macd_normalized,0.002400605312692904
rsi,0.002065157077228585
price_to_sma50,0.001978265470959486
beta,0.0018681673672441498
contrarian_strength,0.0018617765332630276
return_20d,0.0016365192284234103
obv_divergence,0.0016098827134571176
global_market_sync,0.0015055047478706046
relative_strength_20d,0.0014498674065112518
momentum_vs_sector,0.001344684185323325
gap,0.0013102839139882113
return_1d,0.0013066859692809718
sector_momentum_confirmed,0.0012917449347869439
outperformance_in_fear,0.001242987878066601
stock_return_vs_nifty,0.0010801228842186972
outperformance_in_greed,0.0010108348295703317
rsi_vs_sector_avg,0.0009256277812065022
beta_adjusted_return,0.0008900838836258257
quality_in_volatility,0.0008769885997650702
stock_return_vs_sector,0.0008231155641582735
volume_change,0.0008194671160084599
volume_anomaly,0.0007718740920522538
quality_opportunity,0.0007565065584593334
breakout_low,0.0006753435208648547
volume_vs_sector,0.000605902680048326
sma_cross_signal,0.0005157523685178914
sector_leader_conviction,0.00040060597420485053
breakout_high,9.994164185035367e-06
fund_trailing_pe_rank,0.0
fund_forward_pe_rank,0.0
fund_price_to_book_rank,0.0
fund_peg_ratio_rank,0.0
fund_profit_margin_rank,0.0
fund_operating_margin_rank,0.0
fund_return_on_equity_rank,0.0
fund_return_on_assets_rank,0.0
fund_revenue_growth_rank,0.0
fund_earnings_growth_rank,0.0
fund_debt_to_equity_rank,0.0
fund_dividend_yield_rank,0.0
sent_score,0.0
sent_momentum_3d,0.0
sent_momentum_7d,0.0
sent_vs_avg_30d,0.0
