feature,importance
india_vix_close,0.10231127072063773
nifty50_close,0.09840556531087169
sp500_close,0.09044799835327993
vix_close,0.06847731279062023
dxy_close,0.0590637674314857
relative_strength_20d,0.058622906781493025
us_10y_yield_close,0.047685017040912436
defensive_risk_score,0.04084131297985625
stock_return_vs_nifty_5d,0.03875122030050966
sector_rsi_avg,0.032232782469390917
contrarian_strength,0.03184316476647762
sector_return_5d,0.029538870669929357
outperformance_in_fear,0.02236489645782537
india_vix_change_pct,0.020572213033649773
nifty50_return_1d,0.01843918550152321
global_market_sync,0.017748151232292828
vix_change_pct,0.016991541459292114
stock_return_vs_nifty,0.016040076500514314
sp500_return_1d,0.015285370659168344
dxy_return_1d,0.014510629922396705
quality_opportunity,0.01449602919977897
sector_return_1d,0.012949814955912829
outperformance_in_greed,0.01197269837207967
sector_volume_ratio,0.010661169175481567
price_to_sma20,0.010452739074873265
beta_adjusted_return,0.009460567143965712
bb_position,0.005512232752211046
high_20d,0.0051067147094139165
bb_middle,0.005056379971319093
risk_adjusted_momentum,0.004942364351445131
return_10d,0.004468209896524472
bb_upper,0.004303161978290081
sma_20,0.004197680000091344
sma_200,0.0041367843866490445
volume_ratio,0.003961332436537582
beta,0.0036840885599856584
stochastic_k,0.002948721500898225
macd_histogram,0.002923907027105096
low_20d,0.002916694842331613
stochastic_d,0.0028329028265819296
return_5d,0.0028186583161886923
macd_signal,0.002484316234473224
price_to_sma50,0.0019697421653285733
atr_pct,0.0018279152105919788
return_20d,0.0017771051396692436
sr_pivot_position,0.001728528918268106
bb_lower,0.001594836181868671
ema_12,0.0013351747127461615
macd,0.0012778381461828639
sma_50,0.0012685583188352726
resistance_1,0.0011714537846326115
pivot,0.0011678536440446674
support_1,0.0011480733128983102
ema_26,0.0011438786188836265
return_1d,0.0011180046020847214
rsi,0.00094141104754406
gap,0.0008145289679530598
obv_ema,0.0007992951790296444
rsi_vs_sector_avg,0.0006657062312224369
quality_in_volatility,0.0006644614475061646
obv,0.0006513748317335756
atr,0.0006089825959462171
momentum_vs_sector,0.0005925798061593667
stock_return_vs_sector,0.0005865514007677073
sma_cross_signal,0.00047509612260668554
volume_anomaly,0.0004518397432052696
volume_change,0.00042946299448256447
sector_momentum_confirmed,0.000386618981650925
volume_vs_sector,0.00035872975668984437
sector_leader_conviction,0.0003318674381254802
breakout_low,0.00024526922184476494
breakout_high,6.839383232062819e-06
