feature,importance
india_vix_vs_60d,0.11804482434538492
nifty50_vs_200d,0.10010476527723837
sp500_vs_200d,0.08030647308912035
vix_vs_60d,0.0601766916307072
nifty50_return_1d,0.04927164861251938
dxy_vs_60d,0.04651154540586497
adv_decline_ratio,0.04613165341275738
sector_return_5d,0.045683188641698756
us10y_vs_60d,0.04240739868334024
vix_vs_20d,0.04126134110387359
india_vix_change_pct,0.0385371265311358
sector_rsi_avg,0.03797388260751734
nifty50_return_5d,0.028073697480221725
dxy_return_1d,0.027172493002186868
sp500_return_1d,0.024993202918916223
vix_change_pct,0.022234179504470777
sector_return_1d,0.022109552741475004
sector_breadth_score,0.01950753272845554
sector_volume_ratio,0.011688626268995058
bb_position,0.011285889554102478
stochastic_d,0.010099408232046586
price_to_sma20,0.008993809523326813
defensive_risk_score,0.008519017639115969
price_to_high_20d,0.007907970035755494
stochastic_k,0.006590200970671006
return_10d,0.00644252035625686
price_to_low_20d,0.006322741402492087
volume_ratio,0.006191942128266295
return_5d,0.005831145799517387
price_to_sma200,0.005177086765142074
bb_width_pct,0.004383599209961699
atr_pct,0.0038425101874557752
macd_hist_normalized,0.00374830382067366
risk_adjusted_momentum,0.0033920764113866114
stock_return_vs_nifty_5d,0.0032808483119362315
rsi,0.002887847563378494
price_to_sma50,0.002787235944989494
sr_pivot_position,0.00241342557374989
beta,0.002155242684662898
macd_normalized,0.0021089232312858724
global_market_sync,0.0018590105139859267
contrarian_strength,0.0017250538850564006
gap,0.0015421750245920957
relative_strength_20d,0.001501802625484609
return_1d,0.0014346061326182763
return_20d,0.001250978945588833
obv_divergence,0.001250086530178022
sector_momentum_confirmed,0.0012266727197890839
momentum_vs_sector,0.0011088814747504763
outperformance_in_fear,0.0011065023072441428
quality_opportunity,0.0010354298054188165
quality_in_volatility,0.0009015683086213072
outperformance_in_greed,0.0009013277970006434
stock_return_vs_nifty,0.0008490850677524775
rsi_vs_sector_avg,0.0008219221303900537
volume_anomaly,0.0008008227609056937
volume_change,0.0007591392819491684
beta_adjusted_return,0.0007545206322003631
stock_return_vs_sector,0.0007070817609938873
volume_vs_sector,0.0007044966710076961
sector_leader_conviction,0.00048457327646656787
breakout_low,0.0004807563363908964
sma_cross_signal,0.00022029845512239649
breakout_high,2.163822443907872e-05
fund_trailing_pe_rank,0.0
fund_forward_pe_rank,0.0
fund_price_to_book_rank,0.0
fund_peg_ratio_rank,0.0
fund_profit_margin_rank,0.0
fund_operating_margin_rank,0.0
fund_return_on_equity_rank,0.0
fund_return_on_assets_rank,0.0
fund_revenue_growth_rank,0.0
fund_earnings_growth_rank,0.0
fund_debt_to_equity_rank,0.0
fund_dividend_yield_rank,0.0
sent_score,0.0
sent_momentum_3d,0.0
sent_momentum_7d,0.0
sent_vs_avg_30d,0.0
