feature,importance
india_vix_vs_60d,0.11534853061171019
nifty50_vs_200d,0.0853350567869211
sp500_vs_200d,0.08270773344447796
vix_vs_60d,0.056670959778168856
adv_decline_ratio,0.05380126618054313
vix_vs_20d,0.052769515848819754
nifty50_return_1d,0.05119986785100268
sector_return_5d,0.04969012497512595
dxy_vs_60d,0.042430112241403015
us10y_vs_60d,0.041166865738637995
sector_rsi_avg,0.03426774617448608
india_vix_change_pct,0.03340969426250151
nifty50_return_5d,0.03261819113782632
dxy_return_1d,0.026790144232217723
sp500_return_1d,0.025120675459285393
vix_change_pct,0.022287251048121955
sector_return_1d,0.02168997492947643
sector_breadth_score,0.014499535986484832
sector_volume_ratio,0.014488965060331446
stochastic_d,0.011975197016213976
bb_position,0.011434917804893509
price_to_high_20d,0.009667398699663531
defensive_risk_score,0.008996563726673089
return_5d,0.008173420404722085
price_to_sma20,0.00810688726941105
stochastic_k,0.007981146553889306
volume_ratio,0.0069937174303100515
price_to_low_20d,0.006639029699688101
return_10d,0.005149852967577507
bb_width_pct,0.004932154662218467
price_to_sma200,0.00487536967046547
stock_return_vs_nifty_5d,0.004293319201720305
atr_pct,0.00411183884972371
risk_adjusted_momentum,0.002930024838243595
macd_hist_normalized,0.0028790337878989384
macd_normalized,0.0026294284205621576
sr_pivot_position,0.002469695126413068
rsi,0.0021144082360958602
beta,0.001874508470607822
contrarian_strength,0.001868925243827896
price_to_sma50,0.0017824946979229743
global_market_sync,0.001603578438537872
obv_divergence,0.001510919392445278
return_20d,0.0014639457750361333
relative_strength_20d,0.0014548737672811184
gap,0.001435579274274293
momentum_vs_sector,0.0013593023240315333
return_1d,0.0013576047456143139
outperformance_in_fear,0.0012578998018680345
sector_momentum_confirmed,0.0012515281564962355
stock_return_vs_nifty,0.0011170025849255077
outperformance_in_greed,0.0009546615889027174
quality_opportunity,0.0008510951540598424
beta_adjusted_return,0.0008484096048074031
volume_change,0.0008468370664091451
quality_in_volatility,0.0008329846263752752
rsi_vs_sector_avg,0.000815440440211555
stock_return_vs_sector,0.0008024247355135013
volume_anomaly,0.0007364374147760266
volume_vs_sector,0.0005391839879899269
sector_leader_conviction,0.0004127156745953237
sma_cross_signal,0.00020403117725668104
breakout_low,0.00016303886164704924
breakout_high,8.960880660414895e-06
fund_trailing_pe_rank,0.0
fund_forward_pe_rank,0.0
fund_price_to_book_rank,0.0
fund_peg_ratio_rank,0.0
fund_profit_margin_rank,0.0
fund_operating_margin_rank,0.0
fund_return_on_equity_rank,0.0
fund_return_on_assets_rank,0.0
fund_revenue_growth_rank,0.0
fund_earnings_growth_rank,0.0
fund_debt_to_equity_rank,0.0
fund_dividend_yield_rank,0.0
sent_score,0.0
sent_momentum_3d,0.0
sent_momentum_7d,0.0
sent_vs_avg_30d,0.0
