feature,importance
india_vix_vs_60d,0.1106448972861025
sp500_vs_200d,0.08784794983162027
nifty50_vs_200d,0.08131229221391018
vix_vs_60d,0.05943102690009165
adv_decline_ratio,0.054598135748054666
nifty50_return_1d,0.05447096071041369
vix_vs_20d,0.047560744745587885
dxy_vs_60d,0.04482883669543693
sector_return_5d,0.044099402438529056
us10y_vs_60d,0.042889191142480264
sector_rsi_avg,0.035201732914271186
nifty50_return_5d,0.034733473743674276
india_vix_change_pct,0.03164565289951632
vix_change_pct,0.02426772255370062
sector_return_1d,0.02399270779914819
dxy_return_1d,0.023316689921107372
sp500_return_1d,0.02156643881728276
sector_breadth_score,0.01833700989037844
sector_volume_ratio,0.012602694151292988
stochastic_d,0.012142568797732704
bb_position,0.011060039787238359
price_to_high_20d,0.010414781256333187
defensive_risk_score,0.009829304783172125
price_to_sma20,0.009576484860153039
stochastic_k,0.007166688132365051
volume_ratio,0.006938113027734135
price_to_low_20d,0.006595422999233594
return_5d,0.006241755974163562
return_10d,0.00549472475722867
stock_return_vs_nifty_5d,0.004779731336517512
bb_width_pct,0.0047552748301325975
price_to_sma200,0.0046774578581807655
atr_pct,0.0038044723539455484
macd_hist_normalized,0.0033463048747674013
price_to_sma50,0.002847960384638104
risk_adjusted_momentum,0.002800943183185602
rsi,0.0027832871138681187
macd_normalized,0.002677416221337988
sr_pivot_position,0.0024464066144275474
contrarian_strength,0.0020287490422087728
beta,0.001784364703097687
obv_divergence,0.0016455002711080746
relative_strength_20d,0.0015751947625272952
return_1d,0.0014685357558253467
momentum_vs_sector,0.001433711244532808
sector_momentum_confirmed,0.0014248563206761948
gap,0.001420119203122882
global_market_sync,0.0013553614311377043
outperformance_in_fear,0.0011888741691796476
return_20d,0.0011546147168230768
stock_return_vs_nifty,0.0010292360458711205
beta_adjusted_return,0.001014108630141819
outperformance_in_greed,0.000987308151653522
quality_opportunity,0.000925537156999866
quality_in_volatility,0.0008572469701332449
volume_change,0.0008482362638555303
rsi_vs_sector_avg,0.0008447649960654912
stock_return_vs_sector,0.0007972444831098127
volume_anomaly,0.0007240111986638259
volume_vs_sector,0.0006070832249603969
sma_cross_signal,0.0004932189966427475
sector_leader_conviction,0.0004519407883650824
breakout_low,0.00020462173698659124
breakout_high,8.860187356632262e-06
fund_trailing_pe_rank,0.0
fund_forward_pe_rank,0.0
fund_price_to_book_rank,0.0
fund_peg_ratio_rank,0.0
fund_profit_margin_rank,0.0
fund_operating_margin_rank,0.0
fund_return_on_equity_rank,0.0
fund_return_on_assets_rank,0.0
fund_revenue_growth_rank,0.0
fund_earnings_growth_rank,0.0
fund_debt_to_equity_rank,0.0
fund_dividend_yield_rank,0.0
sent_score,0.0
sent_momentum_3d,0.0
sent_momentum_7d,0.0
sent_vs_avg_30d,0.0
