feature,importance
india_vix_vs_60d,0.11227874745597836
nifty50_vs_200d,0.1038164875355882
sp500_vs_200d,0.074765723040798
vix_vs_60d,0.06061353403453574
nifty50_return_1d,0.049728613033514446
sector_return_5d,0.04869496690223778
vix_vs_20d,0.04648214383916139
adv_decline_ratio,0.04647317942823057
dxy_vs_60d,0.045335998331285154
us10y_vs_60d,0.042701993359705225
india_vix_change_pct,0.0403756711013101
sector_rsi_avg,0.038162873856626416
nifty50_return_5d,0.028971383083899925
sp500_return_1d,0.02484110473213606
vix_change_pct,0.024381885190179933
sector_return_1d,0.022317985651033295
dxy_return_1d,0.021415678360538037
sector_breadth_score,0.02127642636786664
sector_volume_ratio,0.01229160502688278
bb_position,0.011196697138371655
stochastic_d,0.009268216053954847
defensive_risk_score,0.008850327731174038
price_to_sma20,0.008766993168375052
price_to_high_20d,0.006825091903717015
volume_ratio,0.0065517336281029435
return_10d,0.006486486216261309
return_5d,0.006073201321406763
price_to_low_20d,0.006067340068164732
price_to_sma200,0.006033822277906774
stochastic_k,0.005604150822853967
bb_width_pct,0.004645664952523285
risk_adjusted_momentum,0.003611288065653178
atr_pct,0.003420009630317142
price_to_sma50,0.003083875541774021
stock_return_vs_nifty_5d,0.002794729430855296
sr_pivot_position,0.002592206921379813
macd_hist_normalized,0.0025405429773739797
rsi,0.002513490252208157
beta,0.0022073154998500087
macd_normalized,0.002032605943573854
global_market_sync,0.001839174298345196
contrarian_strength,0.0017956966488324713
return_1d,0.0017758263621421222
gap,0.0016267200781441597
relative_strength_20d,0.0014975773285853514
sector_momentum_confirmed,0.001457295886752335
obv_divergence,0.0011871194500530063
return_20d,0.0011772386096582268
quality_in_volatility,0.0010990061843937943
momentum_vs_sector,0.001073419311966951
quality_opportunity,0.0010555673284056014
stock_return_vs_nifty,0.0009320906370473985
outperformance_in_greed,0.0008984947897268735
outperformance_in_fear,0.000853894788349639
beta_adjusted_return,0.0008488955437042582
rsi_vs_sector_avg,0.0007517414912161753
volume_change,0.0007310930273887767
volume_vs_sector,0.0007009429671746961
volume_anomaly,0.000696705268832771
stock_return_vs_sector,0.0006607613836647098
sector_leader_conviction,0.0004966445780914614
breakout_low,0.0004841190770913308
sma_cross_signal,0.0002569189974593206
breakout_high,1.1266085667494564e-05
fund_trailing_pe_rank,0.0
fund_forward_pe_rank,0.0
fund_price_to_book_rank,0.0
fund_peg_ratio_rank,0.0
fund_profit_margin_rank,0.0
fund_operating_margin_rank,0.0
fund_return_on_equity_rank,0.0
fund_return_on_assets_rank,0.0
fund_revenue_growth_rank,0.0
fund_earnings_growth_rank,0.0
fund_debt_to_equity_rank,0.0
fund_dividend_yield_rank,0.0
sent_score,0.0
sent_momentum_3d,0.0
sent_momentum_7d,0.0
sent_vs_avg_30d,0.0
