feature,importance
india_vix_vs_60d,0.11420313356838381
sp500_vs_200d,0.09080747831458127
nifty50_vs_200d,0.08014406299347636
nifty50_return_1d,0.05626195239107589
vix_vs_60d,0.05625193847283485
adv_decline_ratio,0.05267445914987705
vix_vs_20d,0.04869406648352115
sector_return_5d,0.045448497285193915
dxy_vs_60d,0.04352033834189621
us10y_vs_60d,0.04154099004826304
sector_rsi_avg,0.0349689486674841
nifty50_return_5d,0.032957576087837726
india_vix_change_pct,0.03160056315908506
vix_change_pct,0.025280063328416577
sector_return_1d,0.02341689903451288
dxy_return_1d,0.023243962773547427
sp500_return_1d,0.020784960405692637
sector_breadth_score,0.01815562755983584
sector_volume_ratio,0.0132460267170311
stochastic_d,0.011961451204590735
defensive_risk_score,0.010155762435644762
price_to_sma20,0.00994124938410995
price_to_high_20d,0.00990907194020906
bb_position,0.00977613900889332
stochastic_k,0.007937818750078486
return_5d,0.007336774726749482
volume_ratio,0.007097122779361749
price_to_low_20d,0.006709052021549752
return_10d,0.005506823551485198
stock_return_vs_nifty_5d,0.004747314837427528
bb_width_pct,0.004629968366141255
price_to_sma200,0.004587628221755603
atr_pct,0.0038445692158785953
macd_hist_normalized,0.0034982668014074576
risk_adjusted_momentum,0.003092826498955867
price_to_sma50,0.0028404527713583173
macd_normalized,0.00250332314004993
rsi,0.002399019362720472
sr_pivot_position,0.0022774107384188214
beta,0.001883185704585323
contrarian_strength,0.0018428049603894507
obv_divergence,0.001698238076249889
relative_strength_20d,0.0015439022466329096
global_market_sync,0.001470287784910175
gap,0.0014657737258578823
sector_momentum_confirmed,0.0014350411411469133
return_1d,0.0013960885092905273
momentum_vs_sector,0.0013224896883484844
return_20d,0.0012994439396891728
outperformance_in_fear,0.0011121704431502697
stock_return_vs_nifty,0.0010241110694324772
beta_adjusted_return,0.0009779647287058372
outperformance_in_greed,0.0009051477460708198
volume_change,0.0008663875162570271
quality_opportunity,0.0008624368035973193
stock_return_vs_sector,0.0008456994107228326
rsi_vs_sector_avg,0.0008344512917412736
volume_anomaly,0.0008000405973160116
quality_in_volatility,0.0007893226671534348
volume_vs_sector,0.0006141485711998541
sector_leader_conviction,0.0004303253462865838
sma_cross_signal,0.0003910302534162583
breakout_low,0.00022316710428857748
breakout_high,1.2750134227350656e-05
fund_trailing_pe_rank,0.0
fund_forward_pe_rank,0.0
fund_price_to_book_rank,0.0
fund_peg_ratio_rank,0.0
fund_profit_margin_rank,0.0
fund_operating_margin_rank,0.0
fund_return_on_equity_rank,0.0
fund_return_on_assets_rank,0.0
fund_revenue_growth_rank,0.0
fund_earnings_growth_rank,0.0
fund_debt_to_equity_rank,0.0
fund_dividend_yield_rank,0.0
sent_score,0.0
sent_momentum_3d,0.0
sent_momentum_7d,0.0
sent_vs_avg_30d,0.0
