feature,importance
india_vix_vs_60d,0.11227879770292411
nifty50_vs_200d,0.10381661453231718
sp500_vs_200d,0.07476580571039927
vix_vs_60d,0.06061362266021639
nifty50_return_1d,0.04972903151803659
sector_return_5d,0.04869443603709703
vix_vs_20d,0.04648227389296589
adv_decline_ratio,0.046473204807843865
dxy_vs_60d,0.04533603493352986
us10y_vs_60d,0.042702098776389315
india_vix_change_pct,0.04037567942355463
sector_rsi_avg,0.0381629178573246
nifty50_return_5d,0.028971381925827204
sp500_return_1d,0.024841125513501323
vix_change_pct,0.024381837284767557
sector_return_1d,0.02231797945119789
dxy_return_1d,0.021415696143348036
sector_breadth_score,0.021276380995030944
sector_volume_ratio,0.012291606704989275
bb_position,0.011196696648911233
stochastic_d,0.009268238085625696
defensive_risk_score,0.008849710911798883
price_to_sma20,0.00876699368534915
price_to_high_20d,0.006825124513397492
volume_ratio,0.0065517355538120105
return_10d,0.006486486674594462
return_5d,0.006073202365802325
price_to_low_20d,0.0060673429581420205
price_to_sma200,0.006033825923427812
stochastic_k,0.005604159842915412
bb_width_pct,0.004645668685945617
risk_adjusted_momentum,0.0036112884461811058
atr_pct,0.003420008571474501
price_to_sma50,0.003083891076878005
stock_return_vs_nifty_5d,0.0027947528342683716
sr_pivot_position,0.002592207399714296
macd_hist_normalized,0.002540575787175326
rsi,0.0025134914833739026
beta,0.0022073164326975774
macd_normalized,0.0020325210431577276
global_market_sync,0.001839174602884787
contrarian_strength,0.0017956985218459676
return_1d,0.001775828619181039
gap,0.001626720153834483
relative_strength_20d,0.0014975783774106028
sector_momentum_confirmed,0.001457296934674983
obv_divergence,0.001187131486412698
return_20d,0.0011772418078778563
quality_in_volatility,0.0010990104284158545
momentum_vs_sector,0.0010734206305526412
quality_opportunity,0.001055567384618354
stock_return_vs_nifty,0.0009320764533759206
outperformance_in_greed,0.0008984955582960175
outperformance_in_fear,0.0008538975443660897
beta_adjusted_return,0.000848895902348926
rsi_vs_sector_avg,0.0007517445613381312
volume_change,0.0007310932999961199
volume_vs_sector,0.0007009442652090319
volume_anomaly,0.0006967062305288591
stock_return_vs_sector,0.0006607614910461759
sector_leader_conviction,0.0004966453420267302
breakout_low,0.0004841190770913308
sma_cross_signal,0.0002569204450959773
breakout_high,1.1266085667494564e-05
fund_trailing_pe_rank,0.0
fund_forward_pe_rank,0.0
fund_price_to_book_rank,0.0
fund_peg_ratio_rank,0.0
fund_profit_margin_rank,0.0
fund_operating_margin_rank,0.0
fund_return_on_equity_rank,0.0
fund_return_on_assets_rank,0.0
fund_revenue_growth_rank,0.0
fund_earnings_growth_rank,0.0
fund_debt_to_equity_rank,0.0
fund_dividend_yield_rank,0.0
sent_score,0.0
sent_momentum_3d,0.0
sent_momentum_7d,0.0
sent_vs_avg_30d,0.0
