feature,importance
india_vix_vs_60d,0.11505732282339323
nifty50_vs_200d,0.09609304436749051
sp500_vs_200d,0.08014408493076786
vix_vs_60d,0.05882021401378796
nifty50_return_1d,0.05236864641643423
adv_decline_ratio,0.049241558401159305
us10y_vs_60d,0.04597519022065215
vix_vs_20d,0.04347615243690873
dxy_vs_60d,0.042907337608892954
sector_return_5d,0.040774337790522974
india_vix_change_pct,0.03972856603811503
sector_rsi_avg,0.03672794286985095
dxy_return_1d,0.02807978604198418
nifty50_return_5d,0.027776930141539435
sector_return_1d,0.02474736028847074
sp500_return_1d,0.023581727591424816
vix_change_pct,0.02333844153375044
sector_breadth_score,0.018965642176833584
sector_volume_ratio,0.012733601714443604
stochastic_d,0.011193312847795496
bb_position,0.009424009145189954
price_to_high_20d,0.008625867339393958
price_to_sma20,0.008335923500629169
defensive_risk_score,0.008277515893431042
volume_ratio,0.007064422601819827
price_to_sma200,0.006732905491101348
stochastic_k,0.006483731666906539
return_5d,0.006177172896526564
price_to_low_20d,0.005674058835160072
return_10d,0.005467398912319238
bb_width_pct,0.0045196030696550045
price_to_sma50,0.0036045467065006108
macd_hist_normalized,0.0035684523108836376
risk_adjusted_momentum,0.003565694566972888
stock_return_vs_nifty_5d,0.00349295803606689
atr_pct,0.00339105568576916
sr_pivot_position,0.0026681605100850425
rsi,0.0026561568197964623
beta,0.0022472261879307497
global_market_sync,0.001997868889097316
macd_normalized,0.0019524191684072547
contrarian_strength,0.0016745431281661818
relative_strength_20d,0.0015254490298277767
gap,0.0015205913775624504
return_1d,0.0014679719932549642
obv_divergence,0.0013609056775956538
sector_momentum_confirmed,0.001315114666924115
return_20d,0.0012315123086738748
quality_opportunity,0.0010971587194581567
outperformance_in_fear,0.0010787031683016266
stock_return_vs_nifty,0.0010115365677195191
momentum_vs_sector,0.0009793373112824341
beta_adjusted_return,0.0008931310564444201
breakout_low,0.0008788952255744051
quality_in_volatility,0.0008657902974885042
outperformance_in_greed,0.00086535246545894
volume_anomaly,0.000864946541888469
rsi_vs_sector_avg,0.0007971867858581562
volume_change,0.000753625572774973
stock_return_vs_sector,0.000736823526597652
volume_vs_sector,0.0007206263345190338
sector_leader_conviction,0.0004833482307488559
sma_cross_signal,0.00021360180182641096
breakout_high,5.499724192508577e-06
fund_trailing_pe_rank,0.0
fund_forward_pe_rank,0.0
fund_price_to_book_rank,0.0
fund_peg_ratio_rank,0.0
fund_profit_margin_rank,0.0
fund_operating_margin_rank,0.0
fund_return_on_equity_rank,0.0
fund_return_on_assets_rank,0.0
fund_revenue_growth_rank,0.0
fund_earnings_growth_rank,0.0
fund_debt_to_equity_rank,0.0
fund_dividend_yield_rank,0.0
sent_score,0.0
sent_momentum_3d,0.0
sent_momentum_7d,0.0
sent_vs_avg_30d,0.0
