feature,importance
india_vix_vs_60d,0.10806869138050765
nifty50_vs_200d,0.10438322021430249
sp500_vs_200d,0.07814969930008264
vix_vs_60d,0.062718691168744
nifty50_return_1d,0.05131664678069967
adv_decline_ratio,0.04942584421747245
sector_return_5d,0.048646582392513266
us10y_vs_60d,0.04777725561804682
vix_vs_20d,0.044077405153616696
dxy_vs_60d,0.04205288607407828
sector_rsi_avg,0.038061856042002774
india_vix_change_pct,0.036702549034167725
nifty50_return_5d,0.03144773939374385
sp500_return_1d,0.025325246649697278
dxy_return_1d,0.023055498261960114
vix_change_pct,0.022295022302357498
sector_return_1d,0.021180841741210394
sector_breadth_score,0.020417998154933142
sector_volume_ratio,0.012446723039051746
bb_position,0.011647316804725668
defensive_risk_score,0.010166546954141315
stochastic_d,0.009170796119894228
price_to_sma20,0.007904254833175823
price_to_low_20d,0.006761042022062065
price_to_high_20d,0.006704588622352515
volume_ratio,0.006348960703631013
return_10d,0.00571106569294812
return_5d,0.005337582118052178
stochastic_k,0.0051917657175872736
price_to_sma200,0.005151170323612079
bb_width_pct,0.004670548393587618
risk_adjusted_momentum,0.003836962357619632
price_to_sma50,0.0032444133790557926
atr_pct,0.0031041469444106073
stock_return_vs_nifty_5d,0.0026545661910659228
sr_pivot_position,0.002622055567322731
rsi,0.002415198991778527
beta,0.0023996684266570324
macd_hist_normalized,0.002299778188658893
macd_normalized,0.0020128589679943415
contrarian_strength,0.0018922500586666482
return_1d,0.0015968144855527811
global_market_sync,0.001544407062452376
gap,0.0015228459553073548
relative_strength_20d,0.0013877066225151
sector_momentum_confirmed,0.0013493209067671087
obv_divergence,0.0012931664890774499
momentum_vs_sector,0.0010786466516621274
return_20d,0.0010416851099752666
quality_in_volatility,0.00103605957445014
quality_opportunity,0.0010113158016594843
stock_return_vs_nifty,0.0009065780278707986
beta_adjusted_return,0.000863310899242214
outperformance_in_fear,0.0008594054381127396
outperformance_in_greed,0.000840964658864156
rsi_vs_sector_avg,0.0007594929954451811
volume_change,0.0007360111471557323
stock_return_vs_sector,0.0007219829361711192
volume_vs_sector,0.0007059172255123565
volume_anomaly,0.0006918580206167205
sector_leader_conviction,0.0005032084563673058
breakout_low,0.00048555008912150283
sma_cross_signal,0.0002482193042112405
breakout_high,1.759784370126215e-05
fund_trailing_pe_rank,0.0
fund_forward_pe_rank,0.0
fund_price_to_book_rank,0.0
fund_peg_ratio_rank,0.0
fund_profit_margin_rank,0.0
fund_operating_margin_rank,0.0
fund_return_on_equity_rank,0.0
fund_return_on_assets_rank,0.0
fund_revenue_growth_rank,0.0
fund_earnings_growth_rank,0.0
fund_debt_to_equity_rank,0.0
fund_dividend_yield_rank,0.0
sent_score,0.0
sent_momentum_3d,0.0
sent_momentum_7d,0.0
sent_vs_avg_30d,0.0
