feature,importance
india_vix_vs_60d,0.11152751906610044
sp500_vs_200d,0.08670832892271935
nifty50_vs_200d,0.08253867511044805
vix_vs_60d,0.059001946733702335
adv_decline_ratio,0.05472329132450425
vix_vs_20d,0.0537159239640742
nifty50_return_1d,0.052342690142992865
sector_return_5d,0.05126536287030269
us10y_vs_60d,0.04217640468711373
dxy_vs_60d,0.0381121939793363
sector_rsi_avg,0.0370657808012427
india_vix_change_pct,0.03215180066248137
nifty50_return_5d,0.03164597311466534
dxy_return_1d,0.024789220414487913
sp500_return_1d,0.023928891347930182
sector_return_1d,0.0227454037658351
vix_change_pct,0.021655551173536715
sector_breadth_score,0.016628830271814384
sector_volume_ratio,0.014129174449984534
bb_position,0.011605549623772726
stochastic_d,0.011126904971012805
price_to_high_20d,0.009418308665790147
defensive_risk_score,0.00905020031400414
price_to_sma20,0.008747889674247803
return_5d,0.007926706556801992
stochastic_k,0.0077056758740002874
price_to_low_20d,0.007133583484116377
volume_ratio,0.0065535422395804855
return_10d,0.0056559531924191934
price_to_sma200,0.004886666137631924
stock_return_vs_nifty_5d,0.0046571652431377656
bb_width_pct,0.004410806223454665
atr_pct,0.004235336637497899
risk_adjusted_momentum,0.003067303816250985
sr_pivot_position,0.002660836933839802
macd_normalized,0.002591501327954566
macd_hist_normalized,0.002555659668749789
rsi,0.002156018449415048
contrarian_strength,0.0018946566038425003
beta,0.0016622455448115669
price_to_sma50,0.0015789594968439937
obv_divergence,0.001561936489254579
global_market_sync,0.0015431649163843702
gap,0.001517399275994697
relative_strength_20d,0.0014081162349636588
momentum_vs_sector,0.001319177050628843
sector_momentum_confirmed,0.001311682658613823
return_1d,0.001301465282274485
return_20d,0.001272298053692343
outperformance_in_greed,0.0010824753792804634
stock_return_vs_nifty,0.0010728941316993435
outperformance_in_fear,0.001001315989435445
quality_in_volatility,0.0009648690481091954
beta_adjusted_return,0.0009177538256223326
rsi_vs_sector_avg,0.0008929645560279044
volume_change,0.0008332217476495093
quality_opportunity,0.0008311786569379325
stock_return_vs_sector,0.0008256429921060293
volume_anomaly,0.0007685761498049422
volume_vs_sector,0.0005761855160558342
sector_leader_conviction,0.00041677365614930346
sma_cross_signal,0.00022505929977457683
breakout_low,0.00020873857310878068
breakout_high,1.267703398273067e-05
fund_trailing_pe_rank,0.0
fund_forward_pe_rank,0.0
fund_price_to_book_rank,0.0
fund_peg_ratio_rank,0.0
fund_profit_margin_rank,0.0
fund_operating_margin_rank,0.0
fund_return_on_equity_rank,0.0
fund_return_on_assets_rank,0.0
fund_revenue_growth_rank,0.0
fund_earnings_growth_rank,0.0
fund_debt_to_equity_rank,0.0
fund_dividend_yield_rank,0.0
sent_score,0.0
sent_momentum_3d,0.0
sent_momentum_7d,0.0
sent_vs_avg_30d,0.0
