export_timestamp,trading_date,ticker,company,predicted_signal,confidence,confidence_percentage,signal_strength,close_price,RSI,sma_5,sma_10,sma_20,sma_50,ema_5,ema_10,ema_20,ema_50,macd,macd_signal,macd_histogram,macd_trend,price_vs_sma20,price_vs_sma20_pct,price_vs_sma50,price_vs_sma50_pct,price_vs_ema20,sma20_vs_sma50,ema20_vs_ema50,trend_direction,sma5_vs_sma20,volume_sma_20,volume_sma_ratio,price_momentum_5,price_momentum_10,rsi_momentum,daily_volatility
2025-11-26 09:01:18,2025-11-25,AAPL,Apple Inc.,Oversold (Buy),0.6446834753235151,64.5,Moderate,276.97,61.041060459101026,271.838,0.0,0.0,0.0,273.4071539582322,272.0267825305991,271.29672149716214,270.86484333663856,0.6542526167581286,0.2735629270397939,0.3806896897183347,Bullish,0.0,-100.0,0.0,-100.0,1.0209117105121273,0.0,1.0015944415495326,Downtrend,0.0,0.0,0.0,1.0356341609332935,0.0,1.2345227673067356,1.852186157345559
2025-11-26 09:01:18,2025-11-25,ADBE,Adobe Inc.,Oversold (Buy),0.6603561734018057,66.0,Moderate,319.55,36.986970684038866,318.596,0.0,0.0,0.0,319.6367799902866,319.87134715913186,320.08068098218496,320.2399267112853,-0.20544421475005947,-0.21613632932138077,0.010692114571321298,Bullish,0.0,-100.0,0.0,-100.0,0.9983420399489388,0.0,0.9995027299352216,Downtrend,0.0,0.0,0.0,0.9848368107991493,0.0,0.6637317110304082,1.861993428258485
2025-11-26 09:01:18,2025-11-25,ADP,"Automatic Data Processing, Inc.",Oversold (Buy),0.6306008731288688,63.1,Moderate,256.31,44.78233034571053,251.8,0.0,0.0,0.0,252.6922340942205,252.00132170246306,251.67119293870837,251.48613436829515,0.29032385920649517,0.08491591695679887,0.2054079422496963,Bullish,0.0,-100.0,0.0,-100.0,1.0184320144356822,0.0,1.000735859934696,Downtrend,0.0,0.0,0.0,1.0265128759661981,0.0,12.74923341899683,3.644024813702159
2025-11-26 09:01:18,2025-11-25,ADSK,"Autodesk, Inc.",Oversold (Buy),0.6547654715354451,65.5,Moderate,294.43,42.29407599716755,290.644,0.0,0.0,0.0,291.58710539096654,291.2315848150073,291.11833793957896,291.0758739707136,0.08853077266229548,-0.049230289931058685,0.13776106259335416,Bullish,0.0,-100.0,0.0,-100.0,1.0113756559750227,0.0,1.0001458862539383,Downtrend,0.0,0.0,0.0,1.0075283167368168,0.0,6.822975442932133,3.5967802194070004
2025-11-26 09:01:18,2025-11-25,AEP,"American Electric Power Company, Inc.",Oversold (Buy),0.6135630286838566,61.4,Moderate,121.58,57.69881556683581,121.41399999999999,0.0,0.0,0.0,121.66639145216126,121.8008164468905,121.9085934596701,121.98621144032678,-0.10370466036859227,-0.09333892124624552,-0.010365739122346757,Bearish,0.0,-100.0,0.0,-100.0,0.9973045914947841,0.0,0.9993637151302576,Downtrend,0.0,0.0,0.0,0.9843737349202493,0.0,0.3878911970878889,1.472281625267319
2025-11-26 09:01:18,2025-11-25,AMD,"Advanced Micro Devices, Inc.",Oversold (Buy),0.6988071466343291,69.9,Moderate,206.13,31.592842475799372,210.90600000000003,0.0,0.0,0.0,211.2678144730452,213.99632994976537,215.8201516118305,217.0445923272858,-1.7090187848795608,-1.2420384201352355,-0.46698036474432536,Bearish,0.0,-100.0,0.0,-100.0,0.955100802499393,0.0,0.9943585753400899,Downtrend,0.0,0.0,0.0,0.895088801076903,0.0,-5.320109962130665,5.967108135642561
2025-11-26 09:01:18,2025-11-25,AMZN,"Amazon.com, Inc.",Oversold (Buy),0.6593519219154754,65.9,Moderate,229.67,32.29867218485961,223.294,0.0,0.0,0.0,225.42163671685284,224.7480764682096,224.57689947755182,224.54504729484503,0.11779169307598636,-0.2059193514975849,0.32371104457357125,Bullish,0.0,-100.0,0.0,-100.0,1.022678648312879,0.0,1.000141852083092,Downtrend,0.0,0.0,0.0,1.0319928106043585,0.0,3.062911550396578,2.9259372142639437
2025-11-26 09:01:18,2025-11-25,ASML,ASML Holding N.V.,Oversold (Buy),0.6687097913121377,66.9,Moderate,1003.22,42.86167177427886,995.5959999999999,0.0,0.0,0.0,994.5772219524042,996.5312086708277,998.2187437472086,999.4240047131752,-1.6226742837185384,-1.3990197847509886,-0.22365449896754974,Bearish,0.0,-100.0,0.0,-100.0,1.0050101806684346,0.0,0.998794044409297,Downtrend,0.0,0.0,0.0,0.9991633966097644,0.0,0.3625579848424749,3.3033631705906967
2025-11-26 09:01:18,2025-11-25,BIDU,"Baidu, Inc.",Oversold (Buy),0.6393600892323931,63.9,Moderate,117.88,44.45800284726471,114.796,0.0,0.0,0.0,116.00515784361342,115.44783256241992,115.21581916387393,115.09961081316192,0.19679923159461055,0.010575678584801212,0.18622355300980933,Bullish,0.0,-100.0,0.0,-100.0,1.0231233944736073,0.0,1.0010096328727005,Downtrend,0.0,0.0,0.0,1.0063172272494452,0.0,0.29638668564846427,2.4855785544621707
2025-11-26 09:01:18,2025-11-25,CDW,CDW Corporation,Oversold (Buy),0.6259486433401567,62.6,Moderate,143.23,44.7107155083874,140.34,0.0,0.0,0.0,141.25409907722198,140.7148964370865,140.465969100537,140.33162460581363,0.21637336922825057,0.04427202302865603,0.17210134619959455,Bullish,0.0,-100.0,0.0,-100.0,1.0196775839526275,0.0,1.000957335847146,Downtrend,0.0,0.0,0.0,1.0244617695443816,0.0,-5.688547390875399,1.864134608671359
