trading_date,ticker,company,predicted_signal,confidence_percentage,close_price,volume,rsi,buy_probability,sell_probability,sma_20,ema_20,macd_trend,trend_direction,price_vs_sma20_pct,atr_percentage,risk_level,action_recommendation
2026-01-23,NEWGEN.NS,Newgen Software Technologies Limited,Buy,97.11267152867192,624.25,497863,12.029545220928341,0.9711267152867192,0.028873284713281048,774.5725085449219,750.6484629441806,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-23,TEJASNET.NS,Tejas Networks Limited,Buy,96.9515173092792,304.05,1822791,2.5130588143052393,0.969515173092792,0.030484826907208815,397.76000061035154,382.57465614458744,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-23,JYOTICNC.NS,Jyoti CNC Automation Limited,Buy,96.61289328877348,800.95,300000,7.3529500600378555,0.9661289328877348,0.033871067112265306,930.6300036621094,908.0515136823236,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-23,PNBHOUSING.NS,PNB Housing Finance Limited,Buy,95.87969527341458,812.4,3807213,8.57143308678404,0.9587969527341458,0.04120304726585416,956.1775,936.5490268947578,,Sideways,,,Oversold Opportunity,Strong Buy
2026-01-23,LLOYDSME.NS,Lloyds Metals and Energy Limited,Buy,95.80484739389367,1115.5,277165,10.763530301358017,0.9580484739389367,0.041951526061063484,1267.8150024414062,1235.8870903484383,,Sideways,,,Oversold Opportunity,Strong Buy
2026-01-23,SYNGENE.NS,Syngene International Limited,Buy,95.76866036357629,543.8,4137761,6.292864309854352,0.9576866036357629,0.042313396364237574,631.5200042724609,621.3876941376832,,Sideways,,,Oversold Opportunity,Strong Buy
2026-01-23,HBLENGINE.NS,N/A,Buy,95.75844022634999,706.1,1214670,22.377379092213715,0.9575844022635,0.04241559773650054,859.18,817.2252748041223,,Sideways,,,Oversold Opportunity,Strong Buy
2026-01-23,KALYANKJIL.NS,Kalyan Jewellers India Limited,Buy,95.57083295962042,367.2,12298851,11.560046734701785,0.9557083295962042,0.044291670403796266,472.4975003051758,456.49657273079515,,Sideways,,,Oversold Opportunity,Strong Buy
2026-01-23,JBMA.NS,JBM Auto Limited,Buy,95.53494878255306,529.0,431319,16.15840075319707,0.9553494878255306,0.044650512174470844,608.8600012207031,590.8569223815228,,Sideways,,,Oversold Opportunity,Strong Buy
2026-01-23,ADANIGREEN.NS,Adani Green Energy Limited,Buy,95.44137680291067,772.8,22972140,8.287471673680784,0.9544137680291067,0.04558623197089296,956.2700012207031,935.6602927245691,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-23,EIDPARRY.NS,E.I.D.- Parry (India) Limited,Buy,95.41239802775404,879.6,237073,6.074758701279308,0.9541239802775404,0.04587601972245957,970.9649975585937,955.6480914678323,,Downtrend,,,Oversold Opportunity,Strong Buy
