trading_date,ticker,company,predicted_signal,confidence_percentage,close_price,volume,rsi,buy_probability,sell_probability,sma_20,ema_20,macd_trend,trend_direction,price_vs_sma20_pct,atr_percentage,risk_level,action_recommendation
2026-01-22,NEWGEN.NS,Newgen Software Technologies Limited,Buy,96.12046350454926,648.4,724289,14.86435432215795,0.9612046350454926,0.038795364954507756,785.867509765625,764.0052863909167,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,NEWGEN.NS,Newgen Software Technologies Limited,Buy,96.12046350454926,648.4,724289,14.86435432215795,0.9612046350454926,0.038795364954507756,785.867509765625,764.0052863909167,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,NEWGEN.NS,Newgen Software Technologies Limited,Buy,96.12046350454926,648.4,724289,14.86435432215795,0.9612046350454926,0.038795364954507756,785.867509765625,764.0052863909167,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,NEWGEN.NS,Newgen Software Technologies Limited,Buy,96.12046350454926,648.4,724289,14.86435432215795,0.9612046350454926,0.038795364954507756,785.867509765625,764.0052863909167,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,NEWGEN.NS,Newgen Software Technologies Limited,Buy,96.12046350454926,648.4,724289,14.86435432215795,0.9612046350454926,0.038795364954507756,785.867509765625,764.0052863909167,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,NEWGEN.NS,Newgen Software Technologies Limited,Buy,96.12046350454926,648.4,724289,14.86435432215795,0.9612046350454926,0.038795364954507756,785.867509765625,764.0052863909167,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,NEWGEN.NS,Newgen Software Technologies Limited,Buy,96.12046350454924,648.4,724289,14.86435432215795,0.9612046350454924,0.038795364954507756,785.867509765625,764.0052863909167,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,NEWGEN.NS,Newgen Software Technologies Limited,Buy,96.12046350454924,648.4,724289,14.86435432215795,0.9612046350454924,0.038795364954507756,785.867509765625,764.0052863909167,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,NEWGEN.NS,Newgen Software Technologies Limited,Buy,96.12046350454924,648.4,724289,14.86435432215795,0.9612046350454924,0.038795364954507756,785.867509765625,764.0052863909167,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,TEJASNET.NS,Tejas Networks Limited,Buy,95.8425026460466,323.1,1657814,2.7928950036895657,0.958425026460466,0.04157497353953495,404.99500061035155,390.8773987788668,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,TEJASNET.NS,Tejas Networks Limited,Buy,95.8425026460466,323.1,1657814,2.7928950036895657,0.958425026460466,0.04157497353953495,404.99500061035155,390.8773987788668,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,TEJASNET.NS,Tejas Networks Limited,Buy,95.8425026460466,323.1,1657814,2.7928950036895657,0.958425026460466,0.04157497353953495,404.99500061035155,390.8773987788668,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,TEJASNET.NS,Tejas Networks Limited,Buy,95.8425026460466,323.1,1657814,2.7928950036895657,0.958425026460466,0.04157497353953495,404.99500061035155,390.8773987788668,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,TEJASNET.NS,Tejas Networks Limited,Buy,95.8425026460466,323.1,1657814,2.7928950036895657,0.958425026460466,0.04157497353953495,404.99500061035155,390.8773987788668,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,TEJASNET.NS,Tejas Networks Limited,Buy,95.8425026460466,323.1,1657814,2.7928950036895657,0.958425026460466,0.04157497353953495,404.99500061035155,390.8773987788668,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,TEJASNET.NS,Tejas Networks Limited,Buy,95.8425026460466,323.1,1657814,2.7928950036895657,0.958425026460466,0.04157497353953495,404.99500061035155,390.8773987788668,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,TEJASNET.NS,Tejas Networks Limited,Buy,95.8425026460466,323.1,1657814,2.7928950036895657,0.958425026460466,0.04157497353953495,404.99500061035155,390.8773987788668,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,TEJASNET.NS,Tejas Networks Limited,Buy,95.8425026460466,323.1,1657814,2.7928950036895657,0.958425026460466,0.04157497353953495,404.99500061035155,390.8773987788668,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,JYOTICNC.NS,Jyoti CNC Automation Limited,Buy,95.62749539122424,832.25,276178,8.152183974308642,0.9562749539122425,0.043725046087757534,939.7475030517578,919.3418617505863,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,JYOTICNC.NS,Jyoti CNC Automation Limited,Buy,95.62749539122424,832.25,276178,8.152183974308642,0.9562749539122425,0.043725046087757534,939.7475030517578,919.3418617505863,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,JYOTICNC.NS,Jyoti CNC Automation Limited,Buy,95.62749539122424,832.25,276178,8.152183974308642,0.9562749539122425,0.043725046087757534,939.7475030517578,919.3418617505863,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,JYOTICNC.NS,Jyoti CNC Automation Limited,Buy,95.62749539122424,832.25,276178,8.152183974308642,0.9562749539122425,0.043725046087757534,939.7475030517578,919.3418617505863,,Downtrend,,,Oversold Opportunity,Strong Buy
2026-01-22,JYOTICNC.NS,Jyoti CNC Automation Limited,Buy,95.62749539122424,832.25,276178,8.152183974308642,0.9562749539122425,0.043725046087757534,939.7475030517578,919.3418617505863,,Downtrend,,,Oversold Opportunity,Strong Buy
